Motor Name,Manufacturer,Max Thrust (g or kg),Recommended ESC,Recommended Propeller,Motor Product Link,ESC Product Link,Propeller Product Link,Category,motor_diameter_od,motor_holes_mount_diameter,screw_type,shaft_diameter
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,1202.0g,N/A,MF9545,https://store.tmotor.com/product/air-gear-355-quick-release-version.html,,,5kg Class,37.3,,,
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,T-Motor,39239.0g,M200A14S,VZ40x16.1,https://store.tmotor.com/product/mn1118-multirotor-uav-motor.html,,https://store.tmotor.com/product/vz40-16-1-carbon-fiber-vtol-propeller.html,50kg Class,120.5,,,12
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,T-Motor,14159.0g,N/A,"T-MOTOR 26*8.5"" CF / T-MOTOR 27*8.8"" CF / T-MOTOR 28*9.2"" CF",https://store.tmotor.com/product/u11-v2-motor-u-power.html,,,10kg Class,79.5,,,15
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,T-Motor,47460.0g,M200A24S,VZ42 x16.5,https://store.tmotor.com/product/mn1123-multirotor-uav-motor.html,,,50kg Class,120.5,,,12
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,T-Motor,18291.0g,FLAME 80A,"T-MOTOR G29*9.5"" CF / T-MOTOR G30*10.5"" CF / T-MOTOR G32*11"" CF / T-MOTOR MF3016 / T-MOTOR MF3218",https://store.tmotor.com/product/P80-v3-pin-kv100-p-type.html,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,,20kg Class,91.6,,,15
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,T-Motor,2543.0g,N/A,P15 / P16,https://store.tmotor.com/product/mn4006-EVO-kv380-motor-antigravity-type.html,,https://store.tmotor.com/product/polish-carbon-fiber-15x5-prop.html,5kg Class,44.1,,,4
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,6419.0g,FLAME 60A,"P21*6.3"" / P22*6.6""",https://store.tmotor.com/product/mn6007-v2-motor-antigravity-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,67.2,99,,6
GB2208 Gimbal Motor for GoPro-Class Cameras | Smooth & Precise,T-Motor,0.0g,N/A,N/A,https://store.tmotor.com/product/gb2208-gimbal-type.html,,,No Thrust,27.5,,,
U15L KV43 Manned Drone Motor - 63kg Max.Thrust,T-Motor,63000.0g,N/A,N/A,https://store.tmotor.com/product/u15l-manned-aircraft-uav-motor.html,,,50kg Class,151.5,,,25
Antigravity MN2806 EVO KV650 UAV Motor - Higher Thrust,T-Motor,1389.45g,AIR40A 6S,P12*4/P13*4.4,https://store.tmotor.com/product/antigravity-mn2806-evo-motor.html,,https://store.tmotor.com/product/polish-carbon-fiber-12x4-prop.html,5kg Class,34,85,M6,4
MN1320 100kg MTOW Pro High Thrust Multirotor Drone Motor,T-Motor,58958.0g,M200A24S,NS45 x17.5,https://store.tmotor.com/product/mn1320-multirotor-uav-motor.html,,,50kg Class,150,,,
Antigravity MN5008 KV170 UAV Motor - Ultralight & Longer Flight Time,T-Motor,4215.0g,AIR 40A,"P15-17""",https://store.tmotor.com/product/mn5008-kv170-motor-antigravity-type.html,https://store.tmotor.com/product/air-40a-6s-esc.html,,5kg Class,55.6,,,6
Air Gear 355 UAV Power Combo Set for Training & DIY Drones,T-Motor,1233.0g,N/A,MF9545,https://store.tmotor.com/product/air-gear-355-combo-set.html,,,5kg Class,,,,
U15L KV43 Combo Pack Manned Aircraft - 63kg Max.Thrust,T-Motor,63383.0g,N/A,"47*18""",https://store.tmotor.com/product/u15l-manned-aircraft-combo.html,,,50kg Class,,,,
U7 V2.0 High-Thrust Industrial UAV / Drone Motor | KV280-KV490,T-Motor,5600.0g,N/A,N/A,https://store.tmotor.com/product/tmotor-u7-v2-motor-u-power.html,,,5kg Class,60.7,,,6
GB54-2 KV26 Gimbal Motor for Drones / UAVs,T-Motor,0.0g,N/A,N/A,https://store.tmotor.com/product/gb54-2-gimbal-type.html,,,No Thrust,60.7,,,
U15Ⅱ KV80 Heavy-lift UAV / Drone Motor - 36kg Max.thrust,T-Motor,37000.0g,ALPHA 60A,T-MOTOR G36×11.5 CF / T-MOTOR G40x13.1 CF,https://store.tmotor.com/product/u15-v2-motor-u-power-kv80.html,https://store.tmotor.com/product/alpha-60a-24s-esc.html,,50kg Class,147.5,,,20
GB4106 Gimbal Motor - High Torque & Low Cogging Torque,T-Motor,0.0g,N/A,N/A,https://store.tmotor.com/product/gb4106-gimbal-type.html,,,No Thrust,47.75,,,
U5 KV400 UAV Motor for Industrial Drone - 2.85kg Thrust,T-Motor,2850.0g,FLAME 60A,T-MOTOR 14*4.8CF / T-MOTOR 15*5CF / T-MOTOR 16*5.4CF,https://store.tmotor.com/product/u-power-u5.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,42.5,,,5
P60 Pin Agricultural UAV / Drone Motor KV170 | T-Motor Store,T-Motor,8414.0g,FLAME 60A,T-motor 20*6CF / T-motor 22*6.6CF,https://store.tmotor.com/product/P60-pin-kv170-p-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,10kg Class,69,,,6
U15XL KV38 Manned Aircraft / UAV Motor - 81kg Max.Thrust,T-Motor,81000.0g,N/A,N/A,https://store.tmotor.com/product/u15xl-manned-aircraft-uav-motor.html,,,50kg Class,151.5,,,25
MN1115 60kg MTOW Heavy-Payload Multirotor UAV Motor,T-Motor,34369.0g,M200A14S,G36x11.5,https://store.tmotor.com/product/mn1115-multirotor-uav-motor.html,,,20kg Class,120.5,,,12
MN1325 120kg MTOW Heavy Lifting Industrial Drone Motor,T-Motor,68088.0g,M200A24S,NS47 x18,https://store.tmotor.com/product/mn1325-multirotor-uav-motor.html,,,50kg Class,150,,,
Air Gear 450Ⅱ Multi-Rotor UAV Power Combo Set for Training & DIY,T-Motor,1332.0g,N/A,T1045,https://store.tmotor.com/product/air-gear-450II-combo-set.html,,,5kg Class,,,,
U8 Lite L KV110 Multi-rotor UAV Motor - 11.2kg Thrust,T-Motor,11202.0g,N/A,G28*9.2 / G29*9.5 / G30*10.5 / G32*11,https://store.tmotor.com/product/u8lite-l-kv110-u-efficiency.html,,https://store.tmotor.com/product/g28x9_2-prop-2pcs-1pair-glossy-carbon-fiber.html,10kg Class,87.1,,,15
Antigravity MN4006 KV380 UAV Motor - Ultralight & Efficient Cooling,T-Motor,2309.0g,N/A,"T-MOTOR 13*4.4"" CF / T-MOTOR 14*4.8"" CF / T-MOTOR 15*5"" CF / T-MOTOR 16*5.4"" CF",https://store.tmotor.com/product/mn4006-kv380-motor-antigravity-type.html,,,5kg Class,44.35,,,40
U15XXL Combo Pack Manned Aircraft - 100kg Max.Thrust,T-Motor,101449.0g,N/A,"57*22"" / 62*24""",https://store.tmotor.com/product/u15xxl-manned-aircraft-combo.html,,,120kg Class,,,,
U15XL KV38 Combo Pack Manned Aircraft - 81kg Max.Thrust,T-Motor,81206.0g,N/A,"52*20""",https://store.tmotor.com/product/u15xl-manned-aircraft-combo.html,,,50kg Class,,,,
MN1130 100kg MTOW Industrial Heavy Payload Drone Motor,T-Motor,57306.0g,M200A24S,VZ40x16.1,https://store.tmotor.com/product/mn1130-multirotor-uav-motor.html,,https://store.tmotor.com/product/vz40-16-1-carbon-fiber-vtol-propeller.html,50kg Class,120.5,,,12
Antigravity MN5006 KV300 UAV Motor for Longer Flight Time,T-Motor,3218.0g,AIR 40A,"P14-18""",https://store.tmotor.com/product/mn5006-kv300-motor-antigravity-type.html,https://store.tmotor.com/product/air-40a-6s-esc.html,,5kg Class,55.6,,,6
U15XXL KV29 Motor for Manned Aircraft & 100kg Heavy-Lift Drone,T-Motor,101449.0g,N/A,N/A,https://store.tmotor.com/product/u15xxl-manned-aircraft-uav-motor.html,,,120kg Class,151.5,,,25
GB54-1 KV33 Gimbal Motor for Aerial Photography Drones,T-Motor,0.0g,N/A,N/A,https://store.tmotor.com/product/gb54-1-gimbal-type.html,,,No Thrust,60.7,,,
P80Ⅲ Without Pin Agricultural UAV / Drone Motor KV100,T-Motor,18291.0g,FLAME 80A,"T-MOTOR G29*9.5"" CF / T-MOTOR G30*10.5"" CF / T-MOTOR G32*11"" CF / T-MOTOR MF3016 / T-MOTOR MF3218",https://store.tmotor.com/product/P80-v3-without-pin-kv100-p-type.html,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,,20kg Class,91.6,,,15
P60 Without Pin Agricultural UAV / Drone Motor KV170,T-Motor,8414.0g,FLAME 60A,T-motor 20*6CF / T-motor 22*6.6CF,https://store.tmotor.com/product/P60-without-pin-kv170-p-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,10kg Class,69,,,6
Antigravity MN2806 UAV Motor for Lightweight & Endurance Drone,T-Motor,1138.0g,AIR40A6S,P12X4/P13X4.4,https://store.tmotor.com/product/mn2806-motor-antigravity-type.html,,,5kg Class,35,,,4
Antigravity MN4004 KV300 UAV Motor - Ultralight & Efficient Cooling,T-Motor,1521.0g,N/A,"T-MOTOR 13*4.4"" CF / T-MOTOR 14*4.8"" CF / T-MOTOR 15*5"" CF / T-MOTOR 16*5.4"" CF / T-MOTOR 17*5.8"" CF",https://store.tmotor.com/product/mn4004-kv300-motor-antigravity-type.html,,,5kg Class,44.35,,,40
MN1330 140kg MTOW Heavy Duty Industrial Multirotor UAV Motor,T-Motor,75415.0g,M200A24S,NS52x20,https://store.tmotor.com/product/mn1330-multirotor-uav-motor.html,,,50kg Class,150,,,
U3 KV700 Industrial UAV / Drone Motor (Max.Thrust:1.8kg),T-Motor,1800.0g,N/A,T-MOTOR 11*3.7CF / T-MOTOR 12*4CF / T-MOTOR 13*4.4CF / T-MOTOR 14*4.8CF,https://store.tmotor.com/product/u3-motor-u-power.html,,,5kg Class,41.8,,,4
U13Ⅱ KV65 Heavy-lift UAV / Drone Motor - 28.7kg thrust,T-Motor,28711.0g,N/A,"G30*10.5 / G32*11 / T-MOTOR G32*11""CF",https://store.tmotor.com/product/u13-v2-kv65-motor-u-power.html,,https://store.tmotor.com/product/g30x10_5-prop-2pcs-1pair-glossy-carbon-fiber.html,20kg Class,100,,,15
GB36-2 UAV / Drone Gimbal Motor -  Smooth & Precise,T-Motor,0.0g,N/A,N/A,https://store.tmotor.com/product/gb36-2-gimbal-type.html,,,No Thrust,42.5,,,
Antigravity MN8012 KV100 UAV Motor - Ultralight & Endurance,T-Motor,11826.0g,FLAME 80A,"T-MOTOR G28*9.2"" / T-MOTOR G29*9.5"" / T-MOTOR G30*10.5""",https://store.tmotor.com/product/mn8012-motor-antigravity-type.html,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,,10kg Class,87.8,,,12
U8Ⅱ PRO KV100 UAV Motor - IP56 & High Efficiency,T-Motor,9122.0g,N/A,T-MOTO G27*8.8 / T-MOTOR G28*9.2,https://store.tmotor.com/product/u8-2-pro-u-efficiency.html,,,10kg Class,87.3,,,12
U12Ⅱ KV60 Multi-rotor UAV Motor for Heavy-lift Drone,T-Motor,20400.0g,ALPHA 60A,"G29*9.5 / G30*10.5 / T-MOTOR G30*10.5""",https://store.tmotor.com/product/u12-v2-kv60-u-efficiency.html,https://store.tmotor.com/product/alpha-60a-24s-esc.html,https://store.tmotor.com/product/g29x9_5-prop-4pcs-1pair-glossy-carbon-fiber.html,20kg Class,106.8,,,15
U10Ⅱ KV100 Multi-rotor UAV Motor - 10.6kg Thrust & IP45,T-Motor,10600.0g,ALPHA 60A,"28-30""",https://store.tmotor.com/product/u10-2-u-efficiency.html,https://store.tmotor.com/product/alpha-60a-24s-esc.html,,10kg Class,98.6,,,15
U8 Lite KV100 Industrial UAV Motor | 7.3kg Thrust  & 1000 Hours,T-Motor,8716.0g,ALPHA 60A,"28-29""",https://store.tmotor.com/product/u8-lite-kv100-u-efficiency.html,https://store.tmotor.com/product/alpha-60a-24s-esc.html,,10kg Class,87.1,,,15
U8Ⅱ Lite Multi-rotor UAV Motor for Industrial Drone,T-Motor,9122.0g,ALPHA 60A,G27*8.8 / G28*9.2,https://store.tmotor.com/product/u8-v2-lite-u-efficiency.html,https://store.tmotor.com/product/alpha-60a-24s-esc.html,https://store.tmotor.com/product/g27-8_8-prop-4pcs-1pair-glossy-carbon-fiber.html,10kg Class,87.3,,,12
Antigravity MN7005 UAV Motor - Ultralight & High Performance,T-Motor,4783.0g,N/A,"T-MOTOR P24*7.2"" CF",https://store.tmotor.com/product/mn7005-kv115-motor-antigravity-type.html,,,5kg Class,79,,,15
U8Ⅱ KV85 Multi-rotor UAV Motor - Heavy Load IP45,T-Motor,8716.0g,ALPHA 60A,"28-29""",https://store.tmotor.com/product/u8-v2-u-efficiency-kv85.html,https://store.tmotor.com/product/alpha-60a-24s-esc.html,,10kg Class,87.1,,,15
MN601-S KV170 Aerial Photograph UAV Motor Set - 250g & 6.6kg Thrust,T-Motor,6605.0g,FLAME 70A 6S,"20-21""",https://store.tmotor.com/product/mn601-s-kv170-motor-navigator-type.html,https://store.tmotor.com/product/flame-70a-6s-esc.html,,5kg Class,68.8,,,6
MN3520 KV400 UAV Motor for Aerial Photograph Drones,T-Motor,3600.0g,N/A,T-MOTOR 15*5CF / T-MOTOR 16*5.4CF / T-MOTOR 17*5.8CF,https://store.tmotor.com/product/mn3520-motor-navigator-type.html,,,5kg Class,42.5,,,4
MN3510 UAV / Drone Motor - Stability & Longer Flight Time,T-Motor,1900.0g,N/A,N/A,https://store.tmotor.com/product/mn3510-motor-navigator-type.html,,,5kg Class,41.8,,,4
MN2212 V2.0 UAV Motor - High Strength Construction & Super Balance,T-Motor,918.0g,N/A,T-MOTOR 9545B,https://store.tmotor.com/product/mn2212-v2-motor-navigator-type.html,,,5kg Class,27.5,,,4
MN701-S KV135 UAV Motor 2PCS/SET for Versatile & Pro Drones,T-Motor,9733.0g,FLAME 70A 6S FLAME 100A 6S,"24-26""",https://store.tmotor.com/product/mn701-s-kv135-motor-navigator-type.html,,,10kg Class,79.2,,,8
MN805-S KV120 UAV Motor for VTOL Drones,T-Motor,16028.0g,FLAME 100A 14S,"26-27""",https://store.tmotor.com/product/mn805-s-kv120-motor-navigator-type.html,https://store.tmotor.com/product/flame-100a-14s-esc.html,,20kg Class,89,,,12
MN3110 Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,1290.0g,N/A,N/A,https://store.tmotor.com/product/mn3110-motor-navigator-type.html,,,5kg Class,37.7,,,4
MN4116 Multifunctional Drone Motor for Versatile UAVs,T-Motor,5196.0g,FLAME 60A 12S V2.0,"P15-16""/T16*8""",https://store.tmotor.com/product/mn4116-motor-navigator-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,47.4,,,6
MN501-S IP45 Multirotor Fixed Wing UAV Motor KV240,T-Motor,5277.0g,AIR 40A,"17-18""",https://store.tmotor.com/product/mn501-s-kv240-motor-navigator-type.html,https://store.tmotor.com/product/air-40a-6s-esc.html,,5kg Class,55.6,,,6
MN1015 KV70 UAV / Drone Motor - Lightweight & High Thrust,T-Motor,27406.0g,N/A,34-36寸,https://store.tmotor.com/product/mn1015-motor-navigator-type.html,,,20kg Class,121,,,15
MN1010 KV90 UAV / Drone Motor for High Thrust Drones,T-Motor,21561.0g,ALPHA 120A,30-32寸,https://store.tmotor.com/product/mn1010-kv90-motor-navigator-type.html,https://store.tmotor.com/product/alpha-120a-12s-esc.html,,20kg Class,118,,,15
MN705-S KV125 UAV / Drone Motor 2PCS/SET - IP45,T-Motor,13459.0g,FLAME 100A 6S,"26-27""",https://store.tmotor.com/product/mn705-s-kv125-motor-navigator-type.html,https://store.tmotor.com/product/flame-100a-6s-esc.html,,10kg Class,79.2,,,8
MN4010 Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,2240.0g,N/A,T-MOTOR 12*4CF / T-MOTOR 13*4.4CF / T-MOTOR 14*4.8CF / T-MOTOR 15*5CF / T-MOTOR 16*5.4CF,https://store.tmotor.com/product/mn4010-kv370-motor-navigator-type.html,,,5kg Class,44.7,,,4
MN5208 KV340 UAV / Drone Motor for demanding aerial tasks,T-Motor,4125.0g,N/A,T-MOTOR 15*5CF / T-MOTOR 16*5.4CF / T-MOTOR 17*5.8CF / T-MOTOR 18*6.1CF,https://store.tmotor.com/product/mn5208-motor-navigator-type.html,,,5kg Class,59,,M6,4
MN1018 KV72 UAV / Drone Motor - Heavy Payload & Long Flight Time,T-Motor,30808.0g,N/A,34-36寸,https://store.tmotor.com/product/mn1018-motor-navigator-type.html,,,20kg Class,121,,,15
MN605-S IP45 Multirotor Fixed Wing UAV Motor KV170 2PCS/SET,T-Motor,8626.0g,FLAME 70A 6S,"20-22""",https://store.tmotor.com/product/mn605-s-kv170-motor-navigator-type.html,https://store.tmotor.com/product/flame-70a-6s-esc.html,,10kg Class,68.8,,,6
MN4014 Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,3360.0g,N/A,T-MOTOR 15*5CF / T-MOTOR 16*5.4CF / T-MOTOR 17*5.8CF,https://store.tmotor.com/product/mn4014-kv330-motor-navigator-type.html,,,5kg Class,44.7,,,4
MN505-S KV320 UAV / Drone Motor - IP45 & Overload Protection,T-Motor,6680.0g,FLAME 60A 12S,"17-18""",https://store.tmotor.com/product/mn505-s-kv320-motor-navigator-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,55.6,,,6
MN3515 KV400 UAV Motor - High Strength Construction & Stability,T-Motor,2830.0g,N/A,T-MOTOR 14*4.8CF / T-MOTOR 15*5CF / T-MOTOR 16*5.4CF,https://store.tmotor.com/product/mn3515-motor-navigator-type.html,,,5kg Class,42.5,,,4
MN5212 KV340 UAV Motor - High Response & Efficient Cooling,T-Motor,5918.0g,ALPHA 40A,T-MOTOR 15*5CF / T-MOTOR 16*5.4CF / T-MOTOR 17*5.8CF / T-MOTOR 18*6.1CF,https://store.tmotor.com/product/mn5212-kv340-motor-navigator-type.html,https://store.tmotor.com/product/alpha-40a-6s-esc.html,,5kg Class,59,,,4
MN4112 UAV / Drone Motor for Multirotor & Fixed Wing,T-Motor,3752.0g,FLAME 60A 12S V2.0,"P15*5""",https://store.tmotor.com/product/mn4112-motor-navigator-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,47.4,,,6
MN3508 Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,1880.0g,N/A,N/A,https://store.tmotor.com/product/mn3508-motor-navigator-type.html,,,5kg Class,41.8,,,4
MN4110 UAV / Drone Motor - Only 152g 12N14P,T-Motor,3807.0g,FLAME 60A 12S V2.0,"P15-16""",https://store.tmotor.com/product/mn4110-motor-navigator-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,47.4,,,6
MN801-S KV120 UAV Motor for VTOL Drones,T-Motor,12076.0g,FLAME 60A 12S FLAME 80A 12S V2.0,"26-27""",https://store.tmotor.com/product/mn801-s-kv120-motor-navigator-type.html,,,10kg Class,89,,,12
MN4012 Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,2600.0g,N/A,T-MOTOR 13*4.4CF / T-MOTOR 14*4.8CF / T-MOTOR 15*5CF / T-MOTOR 16*5.4 / T-MOTOR 16*5.4CF,https://store.tmotor.com/product/mn4012-kv340-motor-navigator-type.html,,,5kg Class,44.7,,,4
Antigravity MN1005 V2.0 KV90 UAV Motor - High Efficiency,T-Motor,9323.0g,FLAME 60A,"T-MOTOR G30*10.5"" / T-MOTOR G32*11""",https://store.tmotor.com/product/mn1005-v2-motor-antigravity-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,10kg Class,107,,,17
Antigravity MN8017 KV120 UAV Motor - High Thrust & Performance,T-Motor,16841.0g,FLAME 80A,"T-MOTOR G29*9.5"" / T-MOTOR G30*10.5""",https://store.tmotor.com/product/mn8017-motor-antigravity-type.html,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,,20kg Class,87.8,,,12
Antigravity MN8014 KV100 UAV Motor - Ultralight & High Stability,T-Motor,13940.0g,FLAME 80A,"T-MOTOR G29*9.5"" / T-MOTOR G30*10.5""",https://store.tmotor.com/product/mn8014-motor-antigravity-type.html,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,,10kg Class,87.8,,,12
AX525-A Fixed-Wing Motor - Quick Installation & Efficient Cooling,T-Motor,10056.0g,N/A,AUFZ 18*14,https://store.tmotor.com/product/ax525-a-kv250-fixed-wing-motor.html,,,10kg Class,63.6,,,10
AX335-B KV425 UAV Motor for Fixed-Wing Cruising Aircraft,T-Motor,1647.0g,60A(6S)/60A(8S)/12*20,60A(6S)/60A(8S)/12*20,https://store.tmotor.com/product/AX335-B-motor-AX-Series.html,,,5kg Class,39,12,,5
AX435-B Fixed-Wing Cruising Motor | 12kg Max Takeoff,T-Motor,9698.0g,N/A,AUFZ 16*13 / AUFZ 17*11 / AUFZ 17*14,https://store.tmotor.com/product/ax435-b-kv220-fixed-wing-motor.html,,,10kg Class,49.5,,,8
AX530-A Fixed-Wing Motor - Quick Installation & Efficient Cooling,T-Motor,13755.0g,N/A,AUFZ 20*13 / AUZ 20*13,https://store.tmotor.com/product/ax530-a-kv260-fixed-wing-motor.html,,,10kg Class,63.6,,,10
AT2814 Fixed-Wing Motor - High Temp. Resistance & Efficiency,T-Motor,2616.0g,N/A,APC 10*5.5 / APC 11*5.5 / APC 12*6 / APC 13*6.5 / APC 9*6,https://store.tmotor.com/product/at2814-long-shaft-fixed-wing-motor.html,,,5kg Class,35.2,,,5
AT3520 Fixed-Wing UAV Motor -Efficient Cooling & Durability,T-Motor,4316.0g,N/A,APC 13*6.5 / APC 13*8 / APC 14*7,https://store.tmotor.com/product/at3520-long-shaft-fixed-wing-motor.html,,,5kg Class,43,,,5
AX435-A Fixed-Wing Motor - Quick Installation & Efficient Cooling,T-Motor,9698.0g,N/A,AUFZ 16*13 / AUFZ 17*11 / AUFZ 17*14,https://store.tmotor.com/product/ax435-a-kv220-fixed-wing-motor.html,,,10kg Class,49.5,,,8
AX525-B KV250 UAV Motor for Fixed-Wing Cruising Aircraft,T-Motor,10056.0g,N/A,AUFZ 18*14,https://store.tmotor.com/product/ax525-b-kv250-fixed-wing-motor.html,,,10kg Class,63.6,,,10
AX530-B KV260 UAV Motor for Fixed-Wing Cruising Aircraft,T-Motor,13755.0g,N/A,AUFZ 20*13 / AUZ 20*13,https://store.tmotor.com/product/ax530-b-kv260-fixed-wing-motor.html,,,10kg Class,63.6,,,10
AT8020 55CC UAV Motor for Fixed-Wing Aircraft / Drones,T-Motor,18706.0g,N/A,22*10 / 23*10 / 24*10 / 25*10,https://store.tmotor.com/product/at8020-fixed-wing-motor.html,,,20kg Class,90,,,12
AT4125 KV250/KV540 UAV Motor for Fixed-Wing & VTOL Drones,T-Motor,7053.0g,N/A,APC 15*8 / APC 16*8,https://store.tmotor.com/product/at4125-long-shaft-fixed-wing-motor.html,,,5kg Class,50,,,6
AT4120 Fixed-Wing UAV Motor - High Temp. Resistance & Efficiency,T-Motor,6717.0g,N/A,APC 14*7 / APC 15*10 / APC 15*8 / APC 16*8,https://store.tmotor.com/product/at4120-long-shaft-fixed-wing-motor.html,,,5kg Class,50,,,6
AT3530 KV580 Fixed-Wing Motor - High Performance & Stability,T-Motor,4805.0g,N/A,APC 13*8 / APC 14*7,https://store.tmotor.com/product/at3530-long-shaft-fixed-wing-motor.html,,,5kg Class,43,,,5
AT5220-B 20-25CC Fixed-Wing Motor - Safety & Long Endurance,T-Motor,9499.0g,N/A,APC 18*8 / FALCON 18*10 / FALCON 19*10,https://store.tmotor.com/product/at5220-b-fixed-wing-motor.html,,,10kg Class,60,,,10
AT7215 30CC Fixed-Wing UAV Motor - Safety & Long Endurance,T-Motor,14307.0g,N/A,18*10 / 19*10 / 20*10 / 21*10,https://store.tmotor.com/product/at7215-fixed-wing-motor.html,,,10kg Class,81.4,,,10
AT4130 Fixed-Wing Motor - High Torque & Durability,T-Motor,7787.0g,N/A,APC 14*7 / APC 15*8 / APC 16*8 / APC 17*10 / APC 18*8,https://store.tmotor.com/product/at4130-long-shaft-fixed-wing-motor.html,,,10kg Class,50,,,6
AT5230-B 25-30CC Fixed-Wing Motor - Powerful & Excellent Cooling,T-Motor,11641.0g,N/A,FALCON 18*10 / FALCON 19*10 / FALCON 20*10 / FALCON 21*10 / FALCON 22*10,https://store.tmotor.com/product/at5230-b-fixed-wing-motor.html,,,10kg Class,60,,,10
